Company,Exchange,Ticker,Sample year,Corrected_year,U.S.-listed,gvkey,Short-seller ,Result Name,CIQ ID,Primary Industry,Ticker,Cash and Equivalents,Total Revenues,Net Income,Short Term Investments,Cost Of Revenues,"Depreciation & Amort., Total",Total Cash & ST Investments,Cost Of Goods Sold,Asset Writedown & Restructuring Costs,Accounts Receivable,Gross Profit,Stock-Based Compensation,Total Receivables,Selling General & Admin Exp.,Net Cash From Discontinued Ops.,Inventory,R & D Exp.,Change In Accounts Receivable,Total Current Assets,Depreciation & Amort.,Change In Inventories,"Gross Property, Plant & Equipment",Amort. of Goodwill and Intangibles,Change in Acc. Payable,"Net Property, Plant & Equipment",Operating Income,Change in Unearned Rev.,Long-term Investments,Net Interest Exp.,Change in Inc. Taxes,Total Intangibles,EBT Excl Unusual Items,Change in Def. Taxes,Total Assets,Total Unusual Items,Cash from Ops.,Accounts Payable,EBT Incl Unusual Items,Capital Expenditure,Short-term Borrowings,Income Tax Expense,"Sale of Property, Plant, and Equipment",Current Portion of Long Term Debt,Earnings from Cont. Ops.,Cash Acquisitions,Curr. Port. of Cap. Leases,Earnings of Discontinued Ops.,Divestitures,Total Current Liabilities,Extraord. Item & Account. Change,Sale (Purchase) of Intangible assets,Long-Term Debt,Net Income,Net Cash from Investments,Capital Leases,Pref. Dividends and Other Adj.,Cash from Investing,Minority Interest,Merger/Restructuring Costs,Short Term Debt Issued,Total Liabilities,NI to Common Incl Extra Items,Long-Term Debt Issued,Total Pref. Equity,NI to Common Excl Extra Items,Total Debt Issued,Common Stock,Basic EPS,Short Term Debt Repaid,Retained Earnings,Basic EPS Excl. Extra Items,Long-Term Debt Repaid,Treasury Stock,Weighted Avg. Basic Shares Out.,Total Debt Repaid,Total Common Equity,Diluted EPS,Issuance of Common Stock,Total Equity,Diluted EPS Excl Extra Itmes,Repurchase of Common,Total Liabilities And Equity,Weighted Avg. Diluted Shares Out.,Issuance of Preferred Stock,Normalized Basic EPS,Repurchase of Preferred,Normalized Diluted EPS,IQ_COMMON_DIV_CF,IQ_PREF_DIV_CF,EBITDA,Total Dividends Paid,Shares Outstanding on Balance Sheet Date,EBITDA (Incl. Equity Inc. from Affiliates),Cash from Financing,Total Shares Out. On Filing Date,Net Change in Cash,Total Shares Outstanding on BS Date,EBIT,Book Value/Share,EBITDAR,Tangible Book Value,Net Rental Expense,Cash Interest Paid,Tangible Book Value/Share,Normalized Net Income,Cash Taxes Paid,Total Debt,Same Store Sales Growth %,Net Debt Issued,Total Current Debt,Effective Tax Rate,Levered Free Cash Flow,Total Non-Current Debt,Payout Ratio,Unlevered Free Cash Flow,Net Debt,Interest On Long Term Debt,Change in Net Working Capital,Total Capitalization,Total Current Taxes,EBITDA - Capex,Full Time Employees,Total Deferred Taxes
Adeptus Health Inc. ,NYSE,ADPT,2016,fy2016,1,,Lakewood Capital,Adeptus Health Inc.,IQ264239134,Health Care Services,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alliance Data Systems Corporation,NYSE,ADS,2016,fy2016,1,,Citron Research,Alliance Data Systems Corporation,IQ24604,Data Processing and Outsourced Services,NYSE:ADS,1859.2,7138.1,515.8,0,5518.8,407.2,1859.2,4276.8,0,797.2,1619.3,76.5,797.2,143.2,0,271.3,0,-95.6,19589.3,75.9,0,564.6,345,-9.6,342.5,1055.2,-222.7,0,-218.2,0,5047.5,837,0,25514.1,0,2127.2,568.3,837,-207,0,319.4,0,2453.5,517.6,0,0,0,0,9229.5,0,0,10103.3,515.8,20.8,0,83.5,-4291.5,0,0,0,23855.9,432.3,8228.1,0,432.3,8228.1,1.1,7.37713,0,3494.8,7.37713,-7152.8,-4733.1,58.6,-7152.8,1658.2,7.34,18.4,1658.2,7.34,-798.8,25514.1,58.9,0,8.89633,0,8.85102,43522,42735,1462.4,-30,57.4,1462.4,2637.4,55.9253,487.1,(Invalid Formula Name),1055.2,28.8885,1573.7,-3389.3,111.3,405.1,-59.04704,521.325,466.6,20948.7,0,1075.3,7126.5,38.16,83.325,13822.2,5.8162,185,19089.5,125.6,856.1,22606.9,350.2,1255.4,17000,-30.8
First Majestic Silver Corp. ,NYSE,AG,2016,fy2016,1,,Kerrisdale Capital,First Majestic Silver Corp.,IQ3110160,Silver,TSX:FR,129.049,278.077,8.601,1.437,149.281,81.182,142.737,149.281,0,6.353,128.796,4.403,16.473,17.747,0,20.254,0,7.362,180.199,79.593,2.828,1111.152,0,-8.469,628.047,26.223,0,0,-3.141,-4.903,0,23.971,0,857.175,1.52,100.012,10.752,25.491,-62.46,0,16.89,0,12.378,8.601,0,6.078,0,0,49.572,0,0,31.56,8.601,-3.605,2.108,0,-66.586,0,0,0,235.474,8.601,49.87,0,8.601,49.87,628.565,0.05346,0,-63.218,0.05346,-63.206,0,160.87404,-63.206,621.701,0.05,65.087,621.701,0.05,0,857.175,164.25756,0,0.09313,0,0.09121,43130,42735,107.405,0,164.46157,107.405,44.826,164.46157,78.031,(Invalid Formula Name),26.223,3.78022,0,621.701,0,6.925,3.78022,14.98188,4.719,52.124,0,-13.336,18.456,66.2586,34.40888,33.668,0,36.48638,-90.613,3.324,3.028,673.825,8.346,44.945,4003,8.544
"Airgain, Inc. ",Nasdaq,AIRG,2016,fy2016,1,,Street Sweeper,"Airgain, Inc.",IQ10460385,Electronic Components,NasdaqCM:AIRG,45.1614,43.43387,2.19669,0,24.15679,0.8687,45.1614,24.15679,0,5.155,19.27708,0.29854,5.155,10.20278,0,0.14682,5.62213,-1.423,50.81276,0,-0.02708,2.74742,0,1.07553,0.80709,3.45217,0,0,-1.70759,0,4.35959,2.20487,0,56.0635,0,4.66928,3.94901,2.20487,-0.27565,0,0.00818,0,1.38856,2.19669,0,0,0,0,9.23969,0,0,1.33333,2.19669,0,0,0,-0.27565,0,0,0,11.0311,2.19669,0,0,2.19669,0,0.00093,0.65119,0,-43.551,0.65119,-1.625,0,3.37332,-1.625,45.0324,0.39884,40.5353,45.0324,0.39884,0,56.0635,4.6675,0,0.40851,0,0.29524,43174,42735,4.32086,0,9.27506,4.32086,35.43186,9.27506,39.82549,(Invalid Formula Name),3.45217,4.85521,5.06369,40.67281,0.74283,0.17746,4.38518,1.37804,0,2.7219,0,-1.625,1.38856,0.371,2.26878,1.33333,0,3.3409,-42.43951,0.17837,-0.29171,47.7543,0.00202,4.04522,50,0.00617
Asanko Gold Iinc. ,NYSE MKT,AKG,2016,fy2016,1,,K2 & Associates,Asanko Gold Inc.,IQ20947326,Gold,TSX:AKG,59.675,175.909,-13.216,0,88.688,60.498,59.675,88.688,0,1.468,87.221,0.983,24.349,10.953,0,32.374,0,-1.313,119.718,52.958,-31.195,597.017,0,41.803,541.244,14.364,0,0,-12.817,0,0,-0.193,0,662.712,-1.585,54.962,46.934,-1.778,-132.355,0,11.438,0,0.469,-13.216,0,0,0,0,47.403,0,0,154.503,-13.216,0,0,0,-105.941,0,0,0,246.287,-13.216,0,0,-13.216,0,556.256,-0.06642,0,-186.444,-0.06642,0,0,198.97357,0,416.425,-0.07,5.235,416.425,-0.07,0,662.712,198.97357,0,-0.00061,0,-0.00061,43174,42735,74.862,0,201.82921,74.862,-3.899,201.82921,-55.125,(Invalid Formula Name),14.364,2.06325,0,416.425,0,5.859,2.06325,-0.12063,0,154.972,0,0,0.469,NM,-114.11738,154.503,0,-105.7105,95.297,13.451,43.814,571.397,1.531,-57.493,0,9.907
"Amber Road, Inc. ",NYSE,AMBR,2016,fy2016,1,,Real Talk Invesetments,"Amber Road, Inc.",IQ706275,Application Software,NYSE:AMBR,15.40813,73.16119,-18.72673,0,35.7364,4.62019,15.40813,35.7364,0,19.97548,37.42479,5.46789,19.97548,37.92561,0,0,15.37463,-1.21372,41.52386,0,0,34.88208,0,1.28474,9.97826,-15.87546,3.70292,0,-0.8052,0,50.05584,-16.68065,0,110.48909,-1.45035,-0.16582,2.72459,-18.131,-0.23198,0,0.59572,0,0.59334,-18.72673,0,1.15596,0,0,53.06546,0,-2.56178,19.61451,-18.72673,0,1.2767,0,-2.91275,0,-1.41989,0,77.91761,-18.72673,20.25,0,-18.72673,20.25,0.02693,-0.70088,0,-154.93055,-0.70088,-21.05088,0,26.71888,-21.05088,32.57148,-0.70088,1.88758,32.57148,-0.70088,0,110.48909,26.71888,0,-0.39019,0,-0.39019,43529,42735,-11.25526,0,26.92627,-11.25526,1.0867,27.03378,-2.55948,(Invalid Formula Name),-15.87546,1.20965,-7.55826,-17.48436,3.697,0.79034,-0.64934,-10.42541,0,22.64051,0,-0.80088,1.7493,NM,8.38237,20.89121,0,8.85841,7.23238,0.86232,-9.51609,55.21199,0.59572,-11.48724,677,0
American Superconductor Corporation,Nasdaq,AMSC,2016,fy2016,1,,Street Sweeper,American Superconductor Corporation,IQ34933,Electrical Components and Equipment,NasdaqGS:AMSC,39.33,96.023,-23.139,0,74.041,7.972,39.33,74.041,0,19.264,21.982,3.248,19.264,28.861,0,18.512,12.303,-9.318,83.341,0,-0.782,117.267,0.157,1.543,49.778,-19.339,7.248,0,-1.037,0,0.854,-23.061,0,135.318,2.313,-4.559,5.837,-20.748,-1.201,0,2.391,0.047,2.624,-23.139,0,0,0,3.092,41.007,0,0,1.367,-23.139,0,0,0,4.873,0,-0.779,0,51.769,-23.139,0,0,-23.139,0,0.141,-1.75588,0,-928.184,-1.75588,-4,-0.881,13.178,-4,83.549,-1.76,22.312,83.549,-1.76,-0.11,135.318,13.178,0,-1.09373,0,-1.09373,43257,42460,-11.367,0,14.05562,-11.367,18.202,14.04584,18.84,(Invalid Formula Name),-19.339,5.94417,-9.739,82.695,1.628,0.709,5.88341,-14.41313,1.723,3.991,0,-4,2.624,NM,-7.383,1.367,0,-6.73488,-35.339,1,5.043,87.54,2.409,-12.568,369,-0.018
"AutoNation, Inc. ",NYSE,AN,2016,fy2016,1,,Dialectic Capital,"AutoNation, Inc.",IQ112302,Automotive Retail,NYSE:AN,64.8,21609,430.5,0,18295.8,143.4,64.8,18295.8,14,376.7,3313.2,25.1,437,2349.4,-1.3,3520.1,0,-99.3,4714.8,143.4,259.1,3936.4,0,-5.8,2843.2,821.8,0,0,-190.9,0,2109.5,634.6,0,10060,67.7,516,303.7,702.3,-249.5,4791.2,270.6,13.5,167.5,431.7,-410.4,0,-1.2,150.4,5829.2,0,0,1611.1,430.5,0,0,0,-493,0,0,1826.3,7749.7,430.5,0,0,431.7,1826.3,1.2,4.17556,-1330,3133.3,4.1872,-26.7,-842.4,103.1,-1356.7,2310.3,4.14844,8.4,2310.3,4.16,-499,10060,103.8,0,3.84699,0,3.82105,43518,42735,965.2,0,100.65221,965.2,-35.6,100.91315,-12.6,(Invalid Formula Name),821.8,22.9533,1018,200.8,52.8,183.9,1.99499,396.625,265.5,6569.8,0,469.6,4958.7,38.5305,345.025,1611.1,0,459.625,6505,0,-27,8880.1,266.3,715.7,26000,4
Aryzta AG,SIX (Swiss),ARYN-CH,2016,fy2016,0,,Naya Capital management UK Limited,ARYZTA AG,IQ878093,Packaged Foods and Meats,SWX:ARYN,647.724,3878.871,67.008,0,3032.171,288.271,647.724,3032.171,16.405,99.607,846.7,0,143.603,538.207,0,248.719,0,80.902,1065.707,0,-16.223,2242.052,0,30.165,1594.885,308.493,0,491.446,-103.047,0,3617.194,217.162,0,6931.151,-97.114,596.983,382.893,120.048,-184.019,178.751,4.543,1.03,227.998,115.505,-73.363,0.907,-45.721,42.06,1242.326,0,-29.916,1966.957,67.008,-429.223,1.37,31.882,-438.285,15.099,0,0,3743.38,35.126,290.887,0,80.847,290.887,1.172,0.39086,0,1706.686,0.89961,-43.929,-0.047,89.86849,-43.929,3172.672,0.39002,0,3187.771,0.8978,0,6931.151,90.04061,0,1.47939,0,1.47656,43010,42582,596.764,-84.498,89.86801,608.48,62.254,89.86801,220.94,(Invalid Formula Name),308.493,35.30369,665.886,-444.522,69.122,98.934,-4.94639,132.95025,18.369,2375.983,0,246.958,407.656,3.7843,584.839,1968.327,126.1013,651.44713,1728.259,0.098,-371.56,5563.754,22.657,412.745,19857,-18.114
"Avid Technology, Inc. ",Nasdaq,AVID,2016,fy2016,1,,Jay Yoon,"Avid Technology, Inc.",IQ25334,"Technology Hardware, Storage and Peripherals",NasdaqGS:AVID,44.948,511.93,48.219,0,171.407,14.679,44.948,171.407,1.137,43.52,340.523,7.916,43.52,162.839,0,50.701,81.564,14.321,151.005,0,-2.628,174.849,10.298,-18.959,30.146,85.822,-122.617,0,-18.903,-0.009,55.575,67.151,0,249.581,-21.807,-49.195,26.435,45.344,-11.003,0,-2.875,0,5,48.219,0,0,0,0,237.936,0,0,188.795,48.219,0,0,0,-15.577,0,-21.807,25,519.492,48.219,100,0,48.219,125,0.423,1.20484,-30,-1271.148,1.20484,-3.75,-32.353,40.021,-33.75,-269.911,1.2,6.184,-269.911,1.2,-0.941,249.581,40.176,0,1.04868,0,1.04464,43175,42735,100.501,0,40.727,100.501,91.452,40.727,27.046,(Invalid Formula Name),85.822,-6.62732,114.001,-325.486,13.5,9.302,-7.9919,41.96938,1.587,193.795,0,91.25,5,NM,10.74338,188.795,0,22.55775,148.847,8.1,53.473,-76.116,-1.161,89.498,1591,-1.714
Anavex Life Sciences Corp. ,Nasdaq,AVXL,2016,fy2016,1,,GeoInvesting,Anavex Life Sciences Corp.,IQ13580387,Biotechnology,NasdaqCM:AVXL,9.18681,0,-14.7367,0,0,0.00125,9.18681,0,0,0,0,5.06227,0.07935,8.33474,0,0,6.68321,0,9.44629,0,0,0,0,0.77533,0,-15.01795,-0.00108,0,0.00551,0,0,-14.91969,0,9.49868,0.21261,-9.23682,3.06073,-14.70708,0,0,0.02962,0,0,-14.7367,0,0,0,0,3.19053,0,0,0,-14.7367,0,0,0,0,0,0,0,3.19053,-14.7367,0,0,-14.7367,0,0.03617,-0.41921,-0.03476,-78.01815,-0.41921,0,0,35.15343,-0.03476,6.30816,-0.42,3.16742,6.30816,-0.42,0,9.49868,35.15343,0,-0.26526,0,-0.26526,43446,42643,-15.0167,0,36.1683,-15.0167,3.13266,39.61097,-6.10416,(Invalid Formula Name),-15.01795,0.17441,-14.89138,6.30816,0.12532,0,0.17441,-9.32481,0,0,0,-0.03476,0,NM,-3.7871,0,0,-3.7893,-9.18681,0,-0.5334,6.30816,0,-15.0167,10,0
Anavex Life Sciences Corp. ,Nasdaq,AVXL,2016,fy2016,1,,Aristides Capital,Anavex Life Sciences Corp.,IQ13580387,Biotechnology,NasdaqCM:AVXL,9.18681,0,-14.7367,0,0,0.00125,9.18681,0,0,0,0,5.06227,0.07935,8.33474,0,0,6.68321,0,9.44629,0,0,0,0,0.77533,0,-15.01795,-0.00108,0,0.00551,0,0,-14.91969,0,9.49868,0.21261,-9.23682,3.06073,-14.70708,0,0,0.02962,0,0,-14.7367,0,0,0,0,3.19053,0,0,0,-14.7367,0,0,0,0,0,0,0,3.19053,-14.7367,0,0,-14.7367,0,0.03617,-0.41921,-0.03476,-78.01815,-0.41921,0,0,35.15343,-0.03476,6.30816,-0.42,3.16742,6.30816,-0.42,0,9.49868,35.15343,0,-0.26526,0,-0.26526,43446,42643,-15.0167,0,36.1683,-15.0167,3.13266,39.61097,-6.10416,(Invalid Formula Name),-15.01795,0.17441,-14.89138,6.30816,0.12532,0,0.17441,-9.32481,0,0,0,-0.03476,0,NM,-3.7871,0,0,-3.7893,-9.18681,0,-0.5334,6.30816,0,-15.0167,10,0
"AveXis, Inc. ",Nasdaq,AVXS,2016,fy2016,1,,Mako Research,"AveXis, Inc.",IQ259659904,Biotechnology,-,240.43,0,-83.012,0,0,0.064,240.43,0,0,0,0,26.786,0,24.523,0,0,58.892,0,245.18,0,0,24.277,0,0.958,24.201,-83.415,0,0,0.403,0,0,-83.012,0,270.575,0,-48.021,3.197,-83.012,-19.182,0,0,0,0,-83.012,0,0,0,0,24.443,0,0,0,-83.012,0,0,0,-19.182,0,0,0,24.443,-83.012,0,0,-83.012,0,0.003,-3.66531,0,-141.562,-3.66531,0,0,22.648,0,246.132,-3.66531,246.973,246.132,-3.66531,0,270.575,22.648,0,-2.29082,0,-2.29082,43159,42735,-83.351,0,27.7,-83.351,245.381,27.7,178.178,(Invalid Formula Name),-83.415,8.88563,-83.051,246.132,0.3,0,8.88563,-51.8825,0,0,0,0,0,0,-30.67105,0,0,-30.67105,-240.43,0,-13.72533,246.132,0,-102.533,70,0
"AveXis, Inc. ",Nasdaq,AVXS,2016,fy2016,1,,Citron Research,"AveXis, Inc.",IQ259659904,Biotechnology,-,240.43,0,-83.012,0,0,0.064,240.43,0,0,0,0,26.786,0,24.523,0,0,58.892,0,245.18,0,0,24.277,0,0.958,24.201,-83.415,0,0,0.403,0,0,-83.012,0,270.575,0,-48.021,3.197,-83.012,-19.182,0,0,0,0,-83.012,0,0,0,0,24.443,0,0,0,-83.012,0,0,0,-19.182,0,0,0,24.443,-83.012,0,0,-83.012,0,0.003,-3.66531,0,-141.562,-3.66531,0,0,22.648,0,246.132,-3.66531,246.973,246.132,-3.66531,0,270.575,22.648,0,-2.29082,0,-2.29082,43159,42735,-83.351,0,27.7,-83.351,245.381,27.7,178.178,(Invalid Formula Name),-83.415,8.88563,-83.051,246.132,0.3,0,8.88563,-51.8825,0,0,0,0,0,0,-30.67105,0,0,-30.67105,-240.43,0,-13.72533,246.132,0,-102.533,70,0
Amaya Inc. ,Nasdaq,AYA,2016,fy2016,1,,Marc Cohodes,The Stars Group Inc.,IQ61967803,Casinos and Gaming,TSX:TSGI,129.459,1155.247,136.144,59.977,0,106.463,189.436,0,9.741,0,1155.247,10.289,98.395,717.139,0,0.515,0,-15.262,690.387,0,0,49.672,0,-26.349,40.8,325.006,0,58.959,-167.945,0,4549.596,187.33,0,5462.475,-47.78,349.936,135.777,139.55,-6.806,0,4,0,47.75,135.55,-3.549,0,0,0,848.168,0,-7.669,2380.829,136.144,-5.722,0,0,28.871,0.804,-15.207,0,3260.747,136.144,0,684.385,136.144,0,1178.404,0.9624,0,302.288,0.9624,-46.353,-30.035,141.46324,-46.353,1516.539,0.7,2.113,2201.728,0.7,0,5462.475,195.43292,0,0.83184,0,0.60213,43173,42735,431.469,0,145.10113,432.092,-375.586,145.10113,-6.675,(Invalid Formula Name),325.006,10.4516,0,-3033.057,0,131.346,-20.90306,117.67525,1.699,2428.579,0,-46.353,47.75,2.8663,388.75813,2380.829,0,493.72375,2239.143,143.404,-154.898,4630.307,8.384,424.663,1778,-4.384
Badger Daylighting Ltd. ,Toronto,BAD-CA,2016,fy2016,0,,Lakewood Capital,Badger Daylighting Ltd.,IQ880104,Construction and Engineering,TSX:BAD,62.875,404.202,28.912,0,284.297,43.425,62.875,284.297,0,92.467,119.905,4,95.436,15.142,0,3.617,0,-9.908,164.941,43.425,-0.369,517.217,0,-2.437,284.3,54.434,0,0,-4.952,0,9.106,49.541,0,458.347,-2.41,79.075,14.309,47.131,-23.488,0,18.219,0.567,0,28.912,0,0,0,0,43.81,0,0,100.698,28.912,0,0,0,-22.047,0,0,0,179.276,28.912,0,0,28.912,0,82.724,0.77928,0,165.862,0.77928,0,0,37.10068,0,279.071,0.77928,0,279.071,0.77928,0,458.347,37.10068,0,0.83457,0,0.83457,43186,42735,97.859,-14.247,37.10068,97.859,-19.209,37.10068,37.884,(Invalid Formula Name),54.434,7.52199,0,269.965,0,4.95,7.27655,30.96313,9.74,100.698,0,0,0,38.656,58.17425,100.698,49.2771,61.26925,37.823,4.952,-0.407,379.769,17.561,74.371,1605,0.658
"Banc of California, Inc. ",NYSE,BANC,2016,fy2016,1,,Aurelius,"Banc of California, Inc.",IQ2674024,Regional Banks,NYSE:BANC,439.51,369.394,115.416,1,0,16.531,441.264,0,1.285,0,369.394,11.947,16.009,233.511,0,2.502,0,-43.2,1240.287,0,0,0,0,0,140.917,114.748,0,3382.403,0,0,90.697,101.711,0,11029.853,-1.222,18.113,9142.15,100.489,-44.683,68.595,13.749,0.028,2.659,86.74,0,0,28.676,247.216,9328.772,0,0.005,662.719,115.416,-1481.942,0,22.947,-2318.286,0,0,0,10049.614,92.469,68,269.071,63.793,68,0.539,1.97463,-390,134.515,1.36227,-139.828,-29.07,46.82846,-529.828,711.168,1.94107,175.078,980.239,1.33912,-4.436,11029.853,47.63811,120.255,1.35749,-42,1.33442,43525,42735,NA,-41.474,47.1953,0,2583.559,47.39722,283.386,(Invalid Formula Name),NA,15.00442,NA,660.407,16.8,59.38,13.93345,63.56938,42.376,733.973,0,-461.828,71.254,13.682,0,662.719,35.9343,0,292.709,5.717,0,0,8.136,0,1776,5.613
Boart Longyear Limited,Australia,BLY-AU,2016,fy2016,0,,Volmanac,Boart Longyear Limited,IQ23270929,Construction and Engineering,ASX:BLY,59.343,642.404,-156.839,0,553.554,50.655,59.343,553.554,2.048,92.942,88.85,5.96,112.297,112.766,0,165.02,0,1.755,356.187,0,21.372,665.585,0,-16.469,127.66,-38.76,0,0,-70.227,0,128.401,-107.371,0,676.629,-23.678,-50.418,55.082,-131.049,-19.19,0,25.79,16.41,0,-156.839,0,0.14,0,0,234.32,0,-3.173,734.492,-156.839,-1.905,0.495,0,-7.858,0,0,0,1014.132,-156.839,25.671,59.507,-156.839,25.671,1204.291,-0.16764,0,-1346.433,-0.16764,-8.105,0,935.553,-8.105,-397.01,-0.168,0,-337.503,-0.168,0,676.629,935.553,0,-0.07173,0,-0.07173,43158,42735,11.895,0,940.585,11.895,17.484,940.585,-54.014,(Invalid Formula Name),-38.76,-0.42209,30.075,-525.411,18.18,45.296,-0.5586,-67.10688,6.177,735.127,0,17.566,0.14,NM,-27.42263,734.987,0,15.953,675.784,0,5.889,397.624,19.455,-7.295,4012,6.335
"Benefitfocus, Inc. ",Nasdaq,BNFT,2016,fy2016,1,,Real Talk Invesetments,"Benefitfocus, Inc.",IQ7664925,Application Software,NasdaqGM:BNFT,56.853,236.523,-40.346,2.007,123.308,10.216,58.86,123.308,0,32.966,113.215,18.088,32.966,89.061,0,0,56.61,-10.652,96.275,0,0,121.982,0,-0.859,74.083,-32.456,-12.537,0,-7.783,0,8.477,-40.188,0,180.41,-0.141,-22.826,5.829,-40.329,-12.705,0,0.017,0,20,-40.346,0,2.604,0,0,92.073,0,0,20.246,-40.346,38.221,57.934,0,25.516,0,0,0,213.721,-40.346,84,0,-40.346,84,0.03,-1.36351,0,-368.4,-1.36351,-84.2,0,29.58986,-84.2,-33.311,-1.36351,6.87,-33.311,-1.36351,-0.202,180.41,29.58986,0,-0.84886,0,-0.84886,43522,42735,-22.24,0,30.42901,-22.24,6.089,30.71453,8.779,(Invalid Formula Name),-32.456,-1.09471,-17.837,-41.788,4.403,6.655,-1.37329,-25.1175,0.007,100.784,0,-0.2,22.604,NM,-16.24663,78.18,0,-11.296,41.924,7.921,9.467,67.473,0.017,-34.945,1430,0
BP Prudhoe Bay Royalty Trust,NYSE,BPT,2016,fy2016,1,,Alpha Exposure,BP Prudhoe Bay Royalty Trust,IQ335236,Oil and Gas Exploration and Production,NYSE:BPT,1.004,44.919,0,0,0,0,1.004,0,0,0,44.919,0,0,1.298,0,0,0,0,1.004,0,0,0,0,0,0,43.621,0,0,0,0,0,43.621,0,1.004,0,0,0,43.621,0,0,0,0,0,43.621,0,0,0,0,0.218,0,0,0,43.621,0,0,0,0,0,0,0,0.218,43.621,0,0,43.621,0,0.786,2.03836,0,0,2.03836,0,0,21.4,0,0.786,2.03836,0,0.786,2.03836,0,1.004,21.4,0,1.27398,0,1.27398,43525,42735,0,0,21.4,0,0,21.4,0,(Invalid Formula Name),43.621,0.03673,0,0.786,0,0,0.03673,27.26313,0,0,0,0,0,0,0,0,0,0,-1.004,0,0.034,0.786,0,0,0,0
"Bio-Path Holdings, Inc. ",Nasdaq,BPTH,2016,fy2016,1,,Street Sweeper,"Bio-Path Holdings, Inc.",IQ37512626,Biotechnology,NasdaqCM:BPTH,9.375,0.013,-6.75,0,0,0.204,9.375,0,0,0,0.013,0.784,0,3.014,0,0,5.474,0,10.653,0,0,0.708,0,-0.146,0.614,-8.475,0.012,0,0.012,0,0.929,-6.75,0,12.196,0,-8.148,0.069,-6.75,-0.338,0,0,0,0,-6.75,0,0,0,0,1.05,0,0,0,-6.75,0,0,0,-0.338,0,0,0,3.956,-6.75,0,0,-6.75,0,0.01,-14.56311,0,-32.134,-14.56311,0,0,0.4635,0,8.24,-14.56311,9.007,8.24,-14.56311,0,12.196,0.4635,0,-9.10194,0,-9.10194,43192,42735,-8.271,0,0.4782,-8.271,9.007,0.4782,0.521,(Invalid Formula Name),-8.475,17.23128,0,7.311,0,0,15.28858,-4.21875,0,0,0,0,0,0,-5.07288,0,0,-5.07288,-9.375,0,0.426,8.24,0,-8.609,12,0
Bristow Group Inc. ,NYSE,BRS,2016,fy2016,1,,Richard Pearson,Bristow Group Inc.,IQ292980,Oil and Gas Equipment and Services,NYSE:BRS,104.31,1629.547,-72.442,0,1214.715,108.112,104.31,1214.715,83.804,249.317,414.832,21.181,249.317,210.512,0,142.503,0,46.608,593.096,108.112,-3.38,2823.675,0,13.316,2283.252,100.35,0,194.952,-34.128,0,37.469,62.225,0,3262.945,-141.456,118.231,96.966,-79.231,-372.375,60.394,-2.082,60.035,0,-77.149,0,0,0,0,390.368,0,0,1071.578,-72.442,-4.41,0,1.498,-316.75,26.157,-26.959,0,1737.58,-73.94,928.802,0,-73.94,928.802,0.377,-2.119,0,1172.273,-2.119,-677.003,-184.796,34.89384,-677.003,1499.208,-2.12,0,1525.365,-2.12,-2.205,3262.945,34.89384,0,1.24944,0,1.24944,43243,42460,208.462,-38.076,34.97674,208.723,189.409,34.9784,0.164,(Invalid Formula Name),100.35,42.863,420.302,1461.739,211.84,41.8,41.79174,43.59763,28,1131.972,0,251.799,60.394,NM,-242.7375,1071.578,NM,-221.74625,1027.662,0,41.383,2657.337,-2.59,-163.913,4777,0.508
"Burlington Stores, Inc. ",NYSE,BURL,2016,fy2016,1,,Spruce Point Capital,"Burlington Stores, Inc.",IQ242224249,Apparel Retail,NYSE:BURL,20.915,5113.714,150.482,0,3059.641,157.499,20.915,3059.641,6.111,38.571,2054.073,11.161,38.571,1597.718,0,783.528,0,1.263,932.982,172.099,5.18,2045.754,0,-23.483,1018.57,299.017,0,0,-58.999,0,523.817,245.883,0,2571.813,-7.007,339.402,598.199,238.876,-201.787,0,88.394,4.25,0,150.482,0,1.403,0,0,886.588,0,0,1271.641,150.482,0,23.522,0,-194.732,0,0,0,2670.835,150.482,1607.4,0,150.482,1607.4,0.007,2.03049,0,-1275.972,2.03049,-1553.3,-209.928,74.111,-1553.3,-99.022,1.99,2.1,-99.022,1.99,-201.67,2571.813,75.443,0,2.0736,0,2.03699,43179,42399,456.516,0,71.56163,456.516,-149.104,71.56163,-4.434,(Invalid Formula Name),299.017,-1.38373,724.41,-622.839,267.894,57.376,-8.70353,153.67688,84.676,1296.566,2.1,54.1,1.403,37.0041,137.91725,1295.163,0,171.92363,1275.651,0,-3.302,1197.544,82.485,254.729,37500,5.909
