Company,Exchange,Ticker,U.S.-listed,gvkey,Short-seller ,Sample year,URL,Announce date,End date,Allegations,Summary,Companyfate,Oneweekret,CampaignRet,CampaignRetVsSP500,CompanyTactics,Marketcap,Duplicate copy of Shortseller (added just to make reading easy),Main activist document(s) of interest,(Part 2 for Column N),Chinese company,Notes,Synopsis Excerpt,summary from original source,Focus,Keywords Combined TOTAL
"TechTarget, Inc.",Nasdaq, TTGT,1,GV_177111,Street Sweeper,2014,http://www.activistshorts.com/companies/269/campaigns/371,6/19/2014,6/19/2015,Other overvaluation,"The Street Sweeper said algorithm changes in Google Search had dropped TechTarget, Inc.'s web traffic by 33%. The company said organic traffic remained ahead of the previous year.",Alive,9.70%,17%,6.50%,Buyback/dividend,265,Street Sweeper,http://thestreetsweeper.org/undersurveillance/TechTarget__Google_s_Panda_Crushes_Visibility,,0,,"On 6-19-2014, The Street Sweeper said TechTarget, Inc. had suffered a 33 percent loss in search visibility thanks to Google's latest Panda update, the program that governs search results. With a significant loss in organic traffic, The Street Sweeper said sales at the retail company could suffer significantly. When the Street Sweeper gave the company a chance to respond, it said that organic traffic remained ahead of last year and that it had managed fifteen years of algorithm changes at Google successfully.","TTGT has gained investors’ good graces by reporting improved guidance, a new product and a better-than-expected $23 million quarterly revenue, plus a paltry $135,000 in net income after a loss. Generally, it’s flying under the radar.

Market blindness toward TTGT’s issues - combined with the release of a positive earnings report the same day a public offering was kicked off - created an atmosphere that allowed the smooth sale of millions of TTGT shares.

TTGT director Jay Hoag and others indirectly sold 2.8 million shares for $17 million, as part of the May public offering of 5 million shares – offered at a slight discount by Polaris Venture entities and by entities of Technology Crossover Venture, managed by Mr. Hoag. Selling shareholders, not TTGT, received the proceeds.

Those shareholders joined other insiders who may have been tipping their hand as they’ve sold multi-millions worth of TTGT in just the last six months. In fact, insiders have sold and sold over the years, pocketing upwards of $63 million.

Indeed, TTGT is largely ignored by analysts, sports a ridiculously generous $6 price target and reports yearly revenue declines that have deepened since 2011. The operating income of this company with the stunning $265 million market cap has consistently dropped to the point of losing $2.5 million in 2013.

Now, TTGT must try to overcome that seemingly gentle, doe-eyed virtual monster that has chomped away at both search traffic and SEO visibility so vital to its business of delivering customers.

The market has punished SALE, EBAY and DMD over their crushing Panda experience.

Google’s Panda has TTGT locked in its virtual fangs. Now the market knows and we think the end result will be ugly.                                                                                   

* Important Disclosure: The owners of TheStreetSweeper hold a short positi",Other information,digital disruption;insider selling
Teck Resources Limited,NYSE,TCK,1,,Street Sweeper,2016,https://www.activistshorts.com/companies/716/campaigns/986,9/15/2016,,Industry issues; Dividend cut coming; Over-levered,The Street Sweeper said that Teck Resources was suffering from tumbling profits and declining demand for commodities. The short-seller said the company was a zombie stock and was poised for a significant drop.,Alive,-1.40%,49.50%,46.60%,n/a,10360,,http://www.thestreetsweeper.org/undersurveillance/Teck_Resources_Limited__TCK___Lurching_Toward_A_Monstrous_Drop,,0,,"On 9-15-2016, The Street Sweeper said that Teck Resources was poised for a massive drop in share price as the company suffered tumbling profits and a number of industry pressures. The Street Sweeper said sales had been trending down for five years, accounting for a 28% drop in revenues since 2011. The Street Sweeper said that profits had declined by 96.2% during Q2 2016 compared to the same period in 2015. The Street Sweeper said the company had a negative cash flow and huge amounts of debt, while dividend payments were shrinking. The Street Sweeper pointed out a declining demand from the steel industry and falling commodities prices.","Virtually everything is wrong with this company -  revenue and profit downtrend, negative cash flow, projected lower Chinese steel demand, terrible commodity prices, dividend depression, high executive enrichment, industry bankruptcies, credit junk rating - even Wall Street analysts think the stock is junky. Yet the stock has risen 171% this year.

As the apocalypse nears, one analyst says ""Sell Everything!"" to which we'd add, ""Start With Teck!""

TheStreetSweeper expects a blood-curdling cry from this zombie stock as it stumbles near-term and drops to $10 per share.",Industry,macro issues affecting industry;dividend cut
Tekmira Pharmaceuticals Corporation,Nasdaq, TKMR,1,GV_062475,Street Sweeper,2015,http://www.activistshorts.com/companies/385/campaigns/548,1/22/2015,1/22/2016,Medical effectiveness; Stock promotion ,"The Street Sweeper said Tekmira Pharmaceuticals had ridden the Ebola scare to prominence but was now looking for ""the next big biotech story"" with its hepatitis B therapy ""to keep investors interested.""",Alive,8.30%,-81%,-84.60%,Public equity offering,544,Street Sweeper,http://www.thestreetsweeper.org/undersurveillance/Tekmira_Pharmaceuticals__Spinning_Its_Next__Big_Story_,,1,,"On 1-22-2015, The Street Sweeper said Tekmira Pharmaceuticals had ridden the Ebola scare to prominence but was now looking for ""the next big biotech story"" with its hepatitis B therapy ""to keep investors interested."" The Street Sweeper said Tekmira's share price had increased thanks in part to a series of stock promoters touting the stock over the last two years. The Street Sweeper also criticized Tekmira's partnership with OnCore BioPharma and said Tekmira had a long history of failing to bring its products through testing to commercialization. 
","o, it doesn’t look good: Tekmira’s habit of chasing its next big story, the wild stock promotions, management’s experience with troubled companies, fierce competition and overvalued merger.

Considering the 50 percent Tekmira-OnCore stock arrangement, we were already asking ourselves: How could this situation possibly create a company with a nearly $1 billion valuation? No way. Tekmira’s search for the next big thing will never cease until shareholders run out of money.",Product,product not as valauble as perceived;product dangerous;unlikely to receive FDA approval
Tekmira Pharmaceuticals Corporation,Nasdaq, TKMR,1,GV_062475,Glaucus Research Group,2014,http://www.activistshorts.com/companies/385/campaigns/520,11/10/2014,11/10/2015,Medical effectiveness,"Glaucus Research said Tekmira Pharmaceuticals Corporation was ""hugely overvalued"" and ""poised to collapse"" when the FDA failed to approve its unsafe and difficult to administer Ebola drug.",Alive,2.90%,-73%,-74.20%,Make acquisition; Public equity offering,373,Glaucus Research Group,https://glaucusresearch.com/wp-content/uploads/downloads/2014/11/GlaucusResearch-Tekmira_TKMR-Strong_Sell-Nov_10_2014.pdf,,0,,"On 11-10-2014, Glaucus Research said Tekmira Pharmaceuticals Corporation was ""hugely overvalued"" and ""poised to collapse"" back to its pre-Ebola price. Glaucus Research said the company's Ebola drug, TKM Ebola, was unsafe and unlikely to be approved by the FDA, with physicians preferring other experimental Ebola drugs over Tekmira's drug. Glaucus Research said that dwindling licensing and partnering deals with Tekmira showed that ""developers and other insiders do not assign Tekmira's technology a high probability of commercial success."" Glaucus Research also said the intravenous administration required for Tekmira's Ebola drug would prevent it from being widely adopted in Sub-Saharan Africa, where medical professionals and equipment were lacking. Given Tekmira's sharp rise over Ebola concerns, Glaucus Research predicted the company's stock would fall back to $7-10 per share.","1. Dose of Reality. In July 2014, the FDA placed a clinical hold on Phase I trials of TKM Ebola, reportedly because of
elevated cytokine levels among healthy volunteers (which at higher levels can prompt dangerous inflammation and
other negative responses from the immune system). A failure at this stage over safety concerns makes it highly unlikely
the drug will ever be approved.
a. Doctors Fear that TKM Ebola is Toxic and Unsafe. Temporary approval for emergency administration does
not change the fact that the FDA halted Phase I trials because of TKM Ebola’s safety risks and potential toxicity.
Indeed, experts have cautioned that treating physicians may be reluctant to administer TKM Ebola because of the
perceived risk: “they may want to use a drug with the cleanest safety profile. You may not want to give him a
drug that will push [patients] over the edge.” Put simply, TKM Ebola has not been shown to be either safe or
effective and its limited use in the current crisis does not increase the likelihood of approval by the FDA.
b. Treating Physicians Seem to Prefer Other Experimental Treatments. To our knowledge, TKM Ebola was
only administered after supplies of a competitive treatment, ZMapp, were exhausted. TKM Ebola has only been
administered to two patients (one in Nebraska, one in Norway) and the hospital in the US which first administered
TKM Ebola chose a competitor’s drug, Brincidofovir, to treat a subsequent patient. It appears that treating
physicians clearly favor blood transfusions from survivors, Brincidofovir and especially ZMapp over TKM Ebola.
2. Partners Know Best: Declining Interest in Licensing or Partnering with Tekmira. Pharmaceutical companies who
have signed licensing, collaboration or partnership deals with Tekmira appear unlikely to renew such arrangements and
seem uninterested in pursuing further commercial relationships. Specifically, Roche, Alnylam and Bristol Myers
Squibb all signed deals with Tekmira at the height of RNAi excitement in 2008-2009, and subsequently each one either
terminated this collaboration (Roche, Alnylam) or seem uninterested in increasing a paltry commercial commitment
(BSM). It therefore appears that developers and other insiders do not assign Tekmira’s technology a high probability
of commercial success. 
",Product,stock promotion;product not as valuable as perceived;lackluster product and sales
"Teladoc, Inc. ",NYSE,TDOC,1,,Street Sweeper,2016,https://www.activistshorts.com/companies/751/campaigns/1042,11/14/2016,,Industry issues,The Street Sweeper said that Teladoc would face difficulties due to possible changes in the Affordable Care Act.,Alive,-1.10%,1.10%,-0.90%,n/a,824,,http://www.thestreetsweeper.org/undersurveillance/Trump_s_Obamacare_Promise__Teladoc_s_Code_Blue_,,0,,"On 11-14-2016, The Street Sweeper said that Teladoc, Inc. would face difficulties due to possible changes in the Affordable Care Act (ACA) following the U.S. presidential election. Street Sweeper said that ACA had been a telehealth driver and cited a company press release which stated that ACA had added 8 million patients into the health care system. Street Sweeper said that Teladoc's cash burn rate of $14.6 million per quarter placed pressure on its $44 million cash and equivalents and that the company had prepared to finance itself by offering a diluting issuance of shares, which could amount to a third of the shares outstanding. Street Sweeper said that, among Teladoc insiders, the number of sold shares over 12 months exceeded bought shares by approximately 15-to-1.",The Street Sweeper said that Teladoc would face difficulties due to possible changes in the Affordable Care Act.,Other information,legal headwinds;regulatory headwinds;dilution
Telestone Technologies Corporation,Nasdaq, TSTC,1,GV_143283,Forensic Factor,2011,http://www.activistshorts.com/companies/359/campaigns/484,1/10/2011,1/25/2012,Misleading accounting ,"Forensic Factor said Telestone Technologies was the ""most egregious target"" among Chinese reverse merger companies and was using misleading accounting practices. The company denied any wrongdoing, though was halted and delisted in 2013 after being unable to file its annual report.",Dead,-20.20%,-65%,-71.50%,Make acquisition; Insider buy; Conference call,126,Forensic Factor,http://seekingalpha.com/instablog/790526-the-forensic-factor/127314-telestone-technologies-a-rino-in-sheeps-clothing,,1,,"On 1-10-2011, Forensic Factor said Telestone Technologies Corporation was ""possibly the most egregious target of the entire vilified Chinese reverse merger universe."" Forensic Factor said the company had failed to generate any cumulative cash flow, blatantly acknowledged recognizing revenue before goods and services were rendered, had violated accounting standards in other ways, and had a series of CFO and auditor resignations. While Forensic Factor said it was ""not calling Telestone a fraud (that is for regulators and class action lawyers to determine), we do believe that Telestone's recent capital raise was completed under the auspices of misleading information, as well as a blatant lack of disclosure replete with forensic discrepancies."" Forensic Factor encouraged Nasdaq to halt the stock.","Our request to the NASDAQ is based on the following reasons that will be highlighted in this report:

A failure to generate a penny of cumulative cash flow, despite claims of spectacular revenue and earnings growth.
A revenue recognition and accounts receivable policy that does not appear to conform to GAAP accounting. 
A blatant admission in their public filings that they recognize revenue and services before goods and services are rendered - while failing to disclose any unbilled receivables.
An apparent change in the ratio of allowance for doubtful accounts that overstated earnings last quarter by roughly $0.22 per share.  The overstatement occurred directly in front of an $18.9 million capital raise.
Two separate auditor resignations, a mere seven months apart from each other.
A claim to have developed a meaningful ""new industry standard"" in wireless despite spending less than $1 million per year in research and development.
A much smaller public competitor that has a notably different balance sheet, A/R policy, and cash flow profile.
Their glorified and seminal entry into the U.S. market is with a distributor that was incorporated fifteen months AFTER Telestone claims to have started the relationship.
Three different CFO's in the last three years, as well as a history of IR and corporate contacts that appear and vanish with a convoluted trail that would leave the great Sherlock Holmes stumped.
A reputable IR firm that ""specializes in doing investor relations for small Chinese companies"" (http://www.ebix.com/articles/Motley%2009-22-09.pdf) stopped working with Telestone just ten days after TFF began emailing them with company-specific questions.",Business fraud,Reverse take-over;accounting fraud;possible fraud;accounting misrepresentation;management turnover
TeliaSonera AB,OMX Nordic, TLSN-SE,0,GV_220579,Muddy Waters,2015,http://www.activistshorts.com/companies/552/campaigns/755,10/15/2015,,Accounting fraud; Other illegal ,Muddy Waters said that TeliaSonera's financial statements were misleading and that possible write-downs from corrupt payments could approach $2.5 billion. TeliaSonera said that it did not recognize Muddy Water's conclusions.,Alive,1.70%,-4%,-7.10%,n/a,"23,066",Muddy Waters,http://d.muddywatersresearch.com/wp-content/uploads/2015/10/MW_TLSN_OpenLetter_10152015.pdf,,0,,,,,rejected -- not U.S.-listed.
"Tesaro, Inc.",Nasdaq, TSRO,1,GV_170969,Richard Pearson,2013,http://www.activistshorts.com/companies/78/campaigns/97,5/6/2013,5/6/2014,Medical effectiveness,"Pearson said Tesaro's main drug, Rolapitant, faced significant uncertainty in phase III trials. The company did not respond.",Alive,2.10%,-18%,-36.30%,Public equity offering,957,Richard Pearson,http://seekingalpha.com/article/1404371-netupitant-results-could-roil-tesaro-in-may,http://moxreports.com/2013/05/06/tsro-netupitant-results-could-roil-tesaro/,0,,"On 5-6-2013, Richard Pearson argued there was significant uncertainty in the phase III results of Rolapitant, Tesaro's main product, a nausea drug for chemotherapy patients. Pearson explained that because phase II trials effectiveness were ""barely significant at the 5% level,"" launching of phase III had been repeatedly delayed, and very similar, generic versions could come to market before Rolapitant, shareholders should anticipate a ""volatile ride"" in the coming weeks. He offered Tesaro's attempts to seek opportunities outside of Rolapitant as further proof of the drug's riskiness.
","In evaluating these developments, one must remember that Tesaro is entirely dependent upon Rolapitant for any revenue potential within the next 4 years. One must also remember that the phase II results for Rolapitant were in fact quite marginal.

Phase III trials for Rolapitant are now being repeatedly delayed as enrollment continues well beyond the deadline.

First, this does not bode well for the overall results of Rolapitant in phase III.

Second, even the mere delay of phase III results is highly problematic for Tesaro. This is because the delay will negatively impact Tesaro's ability to actually sell the drug due to Emend going off patent as well as the coming launch of Netupitant.

As a result of these factors, Tesaro is clearly trying to position itself as a company which has other alternatives and opportunities beyond Rolapitant. The company is raising money without a defined use of proceeds and is de-emphasizing Rolapitant in its conference calls. In short, Tesaro is well aware of the impending problem, even though investors are not.

It remains the case that at least 80% of the value of the share price is a function of the prospects for Rolapitant. Even optimists do not predict Niraparib revenues until 2017.

As a result, when Helsinn releases results for Netupitant in the next few weeks, Tesaro shareholders should expect a volatile ride with the share price potentially heading back to below $21.00, where it began the month of April.

Investors also need to keep in mind that over 18 million insider shares of Tesaro were locked up due to the recent equity offering. This lockup expired on April 28th, just in time for the shares to hit all-time highs. Yet this is also just in time for selling to be possible just as Netupitant results are coming to market.",Product,clinical trials unsuccessful;share selling presure;competitive headwinds;product not as valuable as perceived
"Tesla Motors, Inc.",Nasdaq, TSLA,1,GV_184996,Citron Research,2013,http://www.activistshorts.com/companies/224/campaigns/306,7/30/2013,9/25/2014,Bubble; Competitive pressures,"Citron said Tesla was a ""story"" stock where much could go wrong, and it said competition from other luxury brands would hurt the company.",Alive,5.60%,83%,63.50%,Public equity offering; CFO resigns or is replaced,"15,960",Citron Research,http://www.citronresearch.com/citron-chimes-in-on-tesla-motors/,http://www.citronresearch.com/changing-the-conversation-on-tesla/,0,,"On 7-30-2013, Citron Research tweeted that it was short Tesla, and it noted that BMW had a new car that rivaled Tesla's Model S. 

On 8-23-2013, Citron published a report to its website, calling Tesla a ""story"" stock, and it noted that CEO Elon Musk said, ""I think the valuation we have right now is more than we have any right to deserve.""

On 9-25-2013, Citron said that the stock was ""perched at a level of extreme unsustainability,"" and it said the stock was a bubble. Citron said the stock was priced as if nothing could go wrong, but it believed many problems could occur, including a need to raise capital for CapEx, competition from luxury brands, inability to mass-produce cars in California, cannibalization of Model S buyers by the Model X or pre-owned Model S's, failure to penetrate China, failure to establish dealer networks in pushback states and R&D expense requirements to create new compelling product (automated cars). On 3-1-2016, Citron tweeted that it was shorting Tesla. Citron said that supply and demand problems should take Tesla's share price to $100 by the end of the year, and it added that the news flow did ""not look good"" for the stock. Shares traded down about 4.8% on the news. On 3-2-2016, in an interview with CNBC, Citron's Andrew Left said that as the price of oil had started to increase, commentators had drawn a link between Tesla shares and oil, but Left said that the correlation was wrong. Left also said that sell-side research pointed to a much lower supply and that difficulties in producing Tesla's Model X were not a surprise. Left noted that the news flow surrounding Tesla indicated that the company had outdated technology, and he added that the news flow for the Model X was more balanced as compared to the ""fanaticism"" of the Model S.","Fundamentally, not much has changed in 3 months and the stock is 60% higher.  Citron believes that not even in Mr. Musk’s most wildly optimistic moment did he think his stock would have such a stratospheric run. The reality is that once Tesla fills the orders from the early adopters, movie stars and high net worth trend setters, and begins to depend on the everyday mass market, buying a car is the most price-sensitive purchase in the marketplace.  The average customer walks through the dealer’s door knowing full well, as does the dealer, exactly how many dollars per month they will fork over to close the deal.  It is not a question of “emerging technology”. The need to raise capital for CAPEX expenses
The inability to manufacture and sell profitably without environmental credits
(which they have not been able to do yet)
Competition on the high-end from the world’s foremost prestige brands
The inability to mass-produce cars affordably in California (Doing business in
California has become cost prohibitive, that is why Tesla has the only large scale
factory in the state)
Cannibalization of Model S buyers by the Model X
Cannibalization of Model S buyers to pre-owned Model S within 2 years
Failure to penetrate China due to lack of infrastructure to support pure electric
competitive domestic manufacturers, and government protectionism
Failure to establish dealer networks in pushback states
R&D Expense requirements to create new compelling product (automated cars)",Industry,Competitive headwinds;Recent rally;Additional Equity offerings to fund company;Strategy issues;Higher input costs;Ineffective management/staff;business model pressure;Growth unsustainable
"Tesla Motors, Inc.",Nasdaq, TSLA,1,GV_184996,Dialectic Capital,2014,http://www.activistshorts.com/companies/224/campaigns/442,4/10/2014,,Bubble,"Dialectic Capital said demand for Tesla's cars was much weaker, both in the United States and abroad, than the company claimed.",Alive,-8.70%,1%,-11.00%,Public equity offering; CFO resigns or is replaced; Insider buy ,"26,724",Dialectic Capital,http://video.cnbc.com/gallery/?video=3000266202&play=1,,0,,"On 4-10-2014, John Fichthorn of Dialectic Capital said on CNBC that Tesla was benefiting from several direct and indirect government subsidies, particularly among richer consumers, but that the company would have a difficult time expanding to China.On 3-5-2015, John Fichthorn of Dialectic Capital said that earnings and revenues would continue to come down in 2015. Fichthorn said the company was no longer a build-to-order model and was building an inventory, changing the company's business model and threatening its growth rate for the year.",Got info from 2 videos,Strategy,Non-core operations masking growth;Growth unsustainable;Strategy issues;higher operational expenses
"Tesla Motors, Inc.",Nasdaq, TSLA,1,GV_184996,Kynikos Associates,2015,http://www.activistshorts.com/companies/224/campaigns/746,10/8/2015,,Bubble,"Jim Chanos of Kynikos Associates said that it would be difficult for Tesla to become a competitive, mass market auto manufacturer. Chanos discussed Tesla in less detail previously but had not disclosed a short position.",Alive,-4.60%,-5%,-7.50%,CFO resigns or is replaced,"30,107",Kynikos Associates,http://www.cnbc.com/2015/09/09/short-seller-chanos-doubles-down-on-musk-attack.html,,0,,"On 10-7-2013, The Wall Street Journal reported that Jim Chanos of Kynikos Associates had discussed Tesla at the Heard On the Street conference. The Journal reported that Chanos said Tesla had gone beyond an interesting product or innovation to become speculative and a cult stock. On 5-7-2015, Jim Chanos of Kynikos Associates made several cautionary comments on Tesla. Chanos said the company's newly unveiled storage batteries were uneconomic in the US and criticized the company's cash burn rate. Chanos did not specifically state that Kynikos had a short position. Chanos had previously made bearish comments about the company but had declined from disclosing if he was short the stock.On 10-8-2015, Jim Chanos of Kynikos Associates said in an interview with CNN that it would be difficult for Tesla to navigate from being a small, boutique elite car manufacturer to becoming a mass market auto manufacturer that would compete with the likes of BMW and GM. Chanos also said that the company's stock was valued as if Tesla would successfully sell millions of cars, which he said would require greater capital investment. Chanos had discussed Tesla in less detail several times in the past two years, including at the Heard on the Street conference on 10-7-2013 and in an interview with CNBC on 9-9-2015, but did not disclose that he held a short position.

On 10-12-2015, in an interview with Bloomberg, Chanos said that BMW sold about 2,000 electric cars in the U.S. during the month of September, which Chanos said was about as many as Tesla had sold. Chanos added that Tesla had a head start in the market but that other companies were catching up, and he added that much of Tesla's technology belonged to others. Chanos also reiterated that becoming a car manufacturer would be more difficult for Tesla than becoming a high-tech company, as Chanos said car manufacturing was capital intensive and required huge networks. Chanos said that he had not officially disclosed a position but that he was a ""potential purchaser"" and was not positive on the company.","The guts of this product [the battery] is made by Panasonic,"" he argued on ""Squawk Box"" Friday. ""It's a manufacturing company. It's an auto company. It's not a change-the-world company.""",Financial modeling,Recent rally;public hype;Cash shortage;Product not as valuable as perceived;Strategy issues;Future growth will be expensive;Weak or declining patent protection
"Tesla Motors, Inc.",Nasdaq,TSLA,1,,Citron Research,2016,https://www.activistshorts.com/companies/224/campaigns/1004,3/1/2016,,Bubble,"Citron said that Tesla faced supply and demand issues. Later, Citron's Left criticized its acquisition of SolarCity.",Alive,5.60%,-1.80%,-12.80%,Public equity offering,25346,,n/a/,,0,,"On 3-1-2016, Citron tweeted that it was shorting Tesla. Citron said that supply and demand problems should take Tesla's share price to $100 by the end of the year, and it added that the news flow did ""not look good"" for the stock. Shares traded down about 4.8% on the news.

On 3-2-2016, in an interview with CNBC, Citron's Andrew Left said that as the price of oil had started to increase, commentators had drawn a link between Tesla shares and oil, but Left said that the correlation was wrong. Left also said that sell-side research pointed to a much lower supply and that difficulties in producing Tesla's Model X were not a surprise. Left noted that the news flow surrounding Tesla indicated that the company had outdated technology, and he added that the news flow for the Model X was more balanced as compared to the ""fanaticism"" of the Model S.",n/a,Financial modeling,customer retention issues
"Tesla Motors, Inc.",Nasdaq,TSLA,1,,Devonshire Research,2016,https://www.activistshorts.com/companies/224/campaigns/863,3/22/2016,,Pyramid scheme,"Devonshire said that Tesla's decision to make its IP public had eliminated its competitive advantage. Later, it said that Tesla was engaged in an aggressive future-earning financing dynamic, and Devonshire said that failure to manage this vulnerability risked collapse.",Alive,-3.40%,-20.90%,-28.00%,Public equity offering,31472,,http://www.devonshireresearch.com/research/Devonshire%20Research%20Group%20-%20Tesla%20Motors%20-%20TSLA%20-%20Public%20Release.pdf,,0,,"On 3-22-2016, Devonshire Research published a 31-slide presentation on Tesla Motors, Inc. that said the company's decision to make its intellectual property public had eliminated its competitive advantage. Devonshire also said that Tesla had relied heavily on existing technology in designing a successful electric vehicle model, and it said that Tesla had orders of magnitude less patent protection than competitors. Devonshire added that key players in the broader landscape had a long history of patenting, which it said meant larger stockpiles of enforceable IP. Devonshire also said that Tesla was not the green company that it claimed to be, and it said that Tesla had environmental risks at all stages of the vehicle lifecycle, which Devonshire said was ""a serious brand risk and an unknown legal exposure.""","What kind of company is TSLA really? Few companies have ever managed such a broad scope of business models. Its
valuation multiples (when they can be calculated) lie well above its direct business model comparables ? TSLA is attempting more vertical integration than any auto company has recently tried ? TSLA trades at a higher revenue multiple than any related technology business ? TSLA’s only comparables in terms of multiple are business models that TSLA is not: ? Software companies: TSLA has low / negative margins and heavy fixed asset commitment ? Social media companies: TSLA has no network effects, no platform economics and high scaling costs ? Biotech or oil explorations companies: TSLA has high marginal costs for every unit it produces
 TSLA has relied heavily on existing technology in designing a successful EV model, and while it may have generated some
valuable IP it now controls little of it and has questionable sustainable competitive advantage in technology ? TSLA’s patents cover battery-related technology and selected components but not battery cells ? TSLA’s patent holdings are dwarfed by its technology competitors, limiting its freedom to operate in the EV market
where its technology position is modest ? TSLA’s engineering talent is thin relative to competitors and many productive inventors have left ? TSLA’s valuable inventions can be readily copied by its EV competitors ? TSLA’s cost position is heavily dependent on its bargaining positions with strategic suppliers who have an incentive to
price aggressively for their advanced technologies
 TSLA is not the green company it claims to be, with environmental risks at all stages of the vehicle lifecycle ? TSLA battery production requires the mining and use of numerous toxic chemicals ? TSLA EV production has a heavier carbon footprint than traditional vehicles ? TSLA vehicles consume lots of energy; battery charging shifts CO2 emissions from car engines to power plants ? Disposal of TSLA batteries at large scale will create a heavy toxic burden",Other information,competitive headwinds;weak or declining patent protection;industry saturation;business model pressure;strategy issues
"Tesla Motors, Inc.",Nasdaq,TSLA,1,,Aristides Capital,2016,https://www.activistshorts.com/companies/224/campaigns/989,9/8/2016,,Bubble,"Aristides said that Musk's proposed acquisition of SolarCity had ""greatly damaged his credibility among investors.""",Alive,0.30%,-0.60%,,,29863,,http://www.valuewalk.com/2016/09/aristides-capital-short-tesla/,,0,MS: Not sure this should be included. Just a short position relayed from a newsletter. Not cleaer we have the right event date as a result. ,"On 9-8-2016, ValueWalk reported that in a letter to investors, Aristides Capital said that Musk's proposed acquisition of SolarCity had ""greatly damaged his credibility among investors,"" which Aristides said was important because Musk's ""perpetual access to low-cost capital was a key pillar to make the Tesla story work."" ValueWalk also said that Aristides had shorted Tesla just after The Wall Street Journal ran a critical article on the firm.","Speaking of technology that is used to incinerate, Brown shorted Tesla Motors shares and said in a statement to ValueWalk the short occured just after the Wall Street Journal ran a critical article on the firm.

Elon Musk’s proposed acquisition of Solar City seems to have greatly damaged his credibility among investors,” Brown wrote, as general speculation has centered on Tesla being given a much shorter leash in terms of price earnings ratio. This is an important development because it is Musk’s “perpetual access to low-cost capital was a key pillar to make the Tesla story work.”

Brown has more to share on his Musk / Tesla thesis that may be revealed at a later date. Just suffice it to say Tesla is at “the key turning point as to why all of the obvious flaws will finally matter for the stock.”",Management,corporate governance problems
"Tesla Motors, Inc.",Nasdaq,TSLA,1,,Cable Car Capital,2016,https://www.activistshorts.com/companies/224/campaigns/982,9/12/2016,,Stock promotion,"Cable Car said that Tesla was ""a stock promotion scheme rife with conflicts of interest that [was] showing signs of having run its course.""",Alive,2%,2%,2%,n/a,28781,,http://www.cablecarcapital.com/Cable_Car_Q2_2016.pdf,,0,,"On 9-12-2016, in its Q2 2016 letter to investors, Cable Car Capital said that it increasingly believed Tesla was ""a stock promotion scheme rife with conflicts of interest that [was] showing signs of having run its course."" Cable Car said that its recent bond redemption and loss of a lease financing partner suggested that Tesla's ability to raise capital might not be infinite, and it said that if the SolarCity ""bailout"" was ultimately consummated, Tesla could risk financial distress in even a minor economic downturn. Cable Car also noted the ""apples-to-oranges nature"" of comparing Tesla's Autopilot statistics to the safety record of all vehicles, which Cable Car said gave the false impression that driving a Tesla with Autopilot was safer than driving without Autopilot.","I believe the legend of Mr. Musk’s visionary genius is greatly exaggerated; I see him as a common
promoter who has been unusually successful in raising money by appealing to popular imagination and adopting a willingness to distort the truth. Let’s see if I retain any friends in the Bay Area.
Cable Car recently increased its long-standing TSLA short position from immaterial ‘bragging rights’
size to a more meaningful position. Let me preface discussion by noting that shorting TSLA is unlikely to be profitable as long as the company retains unfettered ability to raise capital. For this reason, I have long viewed
the short position as little more than a ‘beta’ hedge of sorts against a change in the overall market
environment. That is still the case. However, I increasingly believe TSLA to be a stock promotion scheme rife with conflicts of interest that is showing signs of having run its course. The recent bond redemption and loss of a lease financing partner suggest that its ability to raise capital may not be infinite. If the SCTY bailout is ultimately consummated, TSLA could risk financial distress in even a minor economic downturn.I am not going to lay out the full fundamental case against Tesla’s valuation, which has been wellestablished
elsewhere. You cannot conclusively disprove a hypothetical. TSLA is one of those widely covered
situations where I believe one can add value primarily by interpreting the available data and making portfolio anagement decisions rather than performing unique analytical work. Indeed, I have deliberately outsourced some of my fundamental work in this case. Online, I follow a small army of analysts who track every development at the company for free. Thanks to a number of smart obsessives, one can easily keep a close
pulse on everything from the many unannounced executive departures to new vehicle sales in Scandinavia. Mr. Musk’s pledges are extensively documented, both the verbal ones he has failed to keep and the incremental half billion dollars of his TSLA and SCTY holdings he has taken personal loans against since the beginning of the year.
There is a stark difference at law between promotional language in the context of selling a product or
service and promotional language in the service of raising capital. As with a certain political candidate, it becomes quite difficult following outrageous statement after outrageous statement to pick a particularly egregious omission or arguably material misrepresentation that justifies a skeptical stance. However inured the market may be to unrealistic forward-looking commentary, close examination of TSLA inevitably reveals something that should cause a reasonable investor to lose trust in the company. TSLA is a popular short, and I imagine each manager had a moment in which it became clear that there were too many red flags to ignore.
Maybe it was a particularly pie-in-the-sky production timeline, or maybe it was a non-GAAP accounting
gimmick too obvious to dismiss. Perhaps it was too stage-managed a press event, too self-serving a related party transaction, or too self-aggrandizing a falsehood about Brady bonds told to a biographer. Maybe the hagiography in general was simply off-putting enough to peek behind the curtain.
",Management,corporate governance problems;public hype;dumb money;related party transactions;capital structure;product dangerous
